#id x y vol
0, 1.03e+02, 1.28e+01, 4.21e-01
1, 1.44e+02, 1.38e+00, 5.11e-01
2, 1.15e+01, 3.89e-01, 5.83e-01
3, 1.40e+02, 1.88e+01, 5.04e-01
4, 1.44e+02, 1.67e+00, 4.67e-01
5, 6.10e+01, 1.34e+01, 4.39e-01
6, 1.29e+02, 3.65e+00, 5.51e-01
7, 3.38e-01, 1.15e+01, 5.08e-01
8, 6.23e+01, 1.25e+01, 5.09e-01
9, 4.83e+00, 1.81e+01, 4.98e-01
10, 8.45e+01, 5.33e+00, 4.95e-01
11, 8.32e+01, 1.25e+01, 5.45e-01
12, 1.06e+02, 1.23e+01, 5.06e-01
13, 1.11e+02, 1.48e+01, 4.84e-01
14, 4.50e+01, 1.24e+01, 5.39e-01
15, 1.45e+02, 2.29e+00, 4.78e-01
16, 1.48e+02, 3.42e+00, 5.07e-01
17, 1.03e+02, 1.23e+01, 4.52e-01
18, 4.45e+01, 1.26e+01, 5.10e-01
19, 1.44e+02, 2.67e+00, 4.65e-01
20, 6.16e+01, 1.33e+01, 5.01e-01
21, 6.10e+00, 1.17e+00, 4.53e-01
22, 1.01e+02, 9.22e+00, 5.39e-01
23, 6.74e+01, 1.35e+01, 5.23e-01
24, 1.45e+02, 3.41e+00, 5.58e-01
25, 1.49e+02, 8.93e+00, 4.04e-01
26, 1.44e+02, 1.94e+01, 5.35e-01
27, 7.28e+01, 1.31e+01, 4.64e-01
28, 1.61e+01, 3.34e+00, 5.26e-01
29, 4.99e+01, 1.20e+01, 4.42e-01
30, 1.90e+01, 1.23e+00, 4.71e-01
31, 1.22e+02, 2.77e+00, 4.61e-01
32, 1.11e+02, 1.52e+01, 4.10e-01
33, 1.46e+02, 3.81e-01, 5.72e-01
34, 1.37e+02, 1.79e+01, 5.15e-01
35, 2.94e+01, 1.68e+01, 4.52e-01
36, 1.18e+01, 1.84e+01, 4.90e-01
37, 1.48e+02, 9.43e+00, 5.43e-01
38, 5.66e+00, 1.45e+00, 4.82e-01
39, 1.42e+02, 1.85e+01, 5.37e-01
40, 6.71e+01, 6.66e+00, 4.59e-01
41, 5.81e+01, 6.48e+00, 4.72e-01
42, 5.78e+01, 6.09e+00, 4.66e-01
43, 1.06e+02, 1.31e+01, 5.20e-01
44, 7.91e+01, 6.13e+00, 4.88e-01
45, 1.13e+02, 4.55e+00, 4.43e-01
46, 1.45e+01, 3.37e+00, 5.03e-01
47, 2.97e+01, 1.72e+01, 3.77e-01
48, 1.04e+02, 1.07e+01, 4.10e-01
49, 1.51e+01, 3.11e+00, 5.96e-01
50, 6.86e+00, 1.86e+01, 4.97e-01
51, 7.86e+01, 6.41e+00, 5.51e-01
52, 9.65e+01, 8.73e+00, 4.48e-01
53, 1.40e+02, 1.85e+01, 5.43e-01
54, 4.67e+00, 1.86e+01, 4.91e-01
55, 1.43e+02, 1.88e+01, 5.20e-01
56, 1.48e+02, 1.25e+01, 5.02e-01
57, 1.22e+01, 1.88e+01, 4.88e-01
58, 9.38e+01, 1.31e+01, 4.47e-01
59, 6.09e-01, 5.98e+00, 4.83e-01
60, 6.68e+01, 6.25e+00, 4.73e-01
61, 1.36e+02, 1.75e+01, 4.64e-01
62, 5.03e+01, 1.18e+01, 4.84e-01
